1,Better academics,"want/need to do better in school.  If just not doing the work, tag behind on work or motivation/procrastination"
2,Active Quest,user is a primary or participating quester
3,ADHD ,diagnosed with ADHD or suspects ADHD
4,Excess Alcohol,"dealing with stress by excessive drinking, binge drinking, relationships and connectedness"
5,Anger ,"difficulty controlling anger or rage, needs help with mindfulness and self-regulation"
6,Clinical Anxiety,"for preclinical, go to stress
"
7,Attendance Problems,"user has problems going to and staying at school or work on time/for required time consistently, frequent call-outs"
8,Autism (Self),"diagnosed with autism (with or without speech delay), pervasive developmental disorder, global delays"
9,Challenging Behaviors,"Do we need separate ones for adult and kids? @Caitlin Ryan Marcus If so the school conduct problem can be for kids.
"
10,Job Hunting,"tough job market, hard to find employment after college even if highly qualified, tons of competition"
11,Communication Deficits,"want to become a more effective communicator, advocate for self, improve relationships
"
12,Bored,"no purpose, nothing to do
"
13,Discrimination/Racism,"user is part of a marginalized group, exclusion, bullying, microaggression"
14,Drug Use,"cocaine, heroin, pills, ketamine, fentanyl, crack cocaine, methamphetamines"
15,Executive Functioning Skills,"user's ability to plan ahead, control impulses. adhd, autism, learning disabilities, intellectual disability, addiction
"
16,Good Families,already pretty good family dynamimcs and motivated to maintain or grow further
17,Build wealth,"want to make more money, save money, invest money"
18,Bad Friends,"bad influences or friends who don't support them.  have these friends but still lonely
"
19,Hyperactivity/Inattention,Pre-ADHD diagnosis
20,Intellectual disability ID,diagnosis of intellectual disability/low IQ
21,Learning disability,"Dyslexia, dysgraphia, auditory processing difficulties, dyspraxia "
22,Poor Marriage,"marriage has problems, arguments, fighting, addiction, etc
"
23,Poor Mental Health,Pre-diagnosis
24,Motivation and procrastination,not quite on top of things but not yet behind on work.  
25,Parenting Stress,"struggling with connecting with kids and discipline
"
26,Perfectionism,Fear of failure and feeling unnecessary stress from perfectionism
27,Personal Care and Hygiene,skills related to taking care of oneself
28,Declining physical health,want to get healthier. general health problems.   no series illnesses
29,Resilience,"giving up too quickly or easily, can't bounce back"
30,Self-Regulation and Coping,"""overreacting"" "
31,Estranged families,"family members on non-speaking terms (i.e. grandparents, siblings)"
32,Need Tolerance Inclusion,"extremists, bigots.  people who need more tolerance"
33,Trauma,"emotional abuse, need help setting boundaries"
34,Stress,general stress management
35,Debt,trying to get rid of debt and save more
36,Sleep Disturbance,"Unhealthy sleeping patterns, like inability to fall or stay asleep, frequent waking at night, consistently getting less than 7 hours per night"
37,Eating Disorder,"anorexia, bulimia, binge eating"
38,Aging,"dealing with natural changes in appearance, physical, mental capacities.  For disease, also tag Poor physical health"
39,Vaping/Smoking,Consuming nicotine vapor or cigarette smoke
40,Maintaining Employment,"keeping up with job duties harder for people with autism, adhd, depression, bipolar, substance abuse"
41,Just Relocated,"moved house recently, assimilation, culture shock, loneliness, making friends"
42,Diagnosed Depression,"diagnosis of depression or persistent depression symptoms, no energy, no pleasure, can escalate to suicide"
43,Behind on work,"boss has noticed loss of productivity, performance improvement plan"
44,FBA,working with an ABA agency or school on obtaining an FBA
45,Sibling Rivalry,"Interpersonal problems or fighting between siblings, need help with communication, boundaries, parent relations"
46,Suicidal Ideations,having thoughts about suicide or dying
47,Suicide Risk,action plans made for suicide and need external support
48,Emotional Abuse,"neglected or gaslit by romantic partner, parent, caregiver, trauma bonds"
49,Divorcing parents,user's parents are separated/divorced or separating/divorcing. 
50,No Friends,"user wants to make friends
"
51,SPED caregiver,burnout and stress from caring for high needs family members
52,Transition to adulthood/independence,"special ed and older teens/young adults who are finishing college, moving out, getting their own place, figuring out how to be independent"
53,Loneliness,"having no friends, feel like they have no one to talk to "
54,Poor social skills,"has a hard time connecting with other people, having smooth conversations, knowing how to act in certain situations"
55,Social anxiety,"difficulty approaching others, ordering food, making phone calls, can also be neurodivergent or have clinical anxiety"
56,Lack of confidence,"wants to gain confidence and feel good about themselves
"
57,Personal Growth and Self-Actualization,this user is seeking more fulfillment and purpose in life
58,Hoarding,
59,Poverty,"living below the poverty line or significant debt. money troubles, no savings, can't pay bills every month"
60,Bipolar,"diagnosed with bipolar 1 or 2, or cyclothymia (a less severe version of BP2)"
61,Chronic illness,"lupus, diabetes, parkinsons, fibromyalgia, multiple sclerosis, and other progressive, terminal, or longterm medical diagnoses"
62,Sportmanship,"sore loser, too competitive"
63,General Intake,
64,Physical abuse,"punching, hitting, choking, scratching, throwing items "
65,Sexual abuse,"unwanted touching, sexual harrassment, rape, sexual assault, adult on adult, adult on minor"
66,Child abuse,need to heal from trauma from past event(s) in childhood
67,Incarcerated parent,"one or both parents are in jail or prison
"
68,Active Abuse,"can be sexual, physical, emotional, neglect, psychological, financial, reproductive"
69,ESL,ESL
70,unhappy with coach,unhappy with coach
71,Better academics,"want/need to do better in school.  If just not doing the work, tag behind on work or motivation/procrastination"
72,Active Quest,user is a primary or participating quester
73,ADHD ,diagnosed with ADHD or suspects ADHD
74,Excess Alcohol,"dealing with stress by excessive drinking, binge drinking, relationships and connectedness"
75,Anger ,"difficulty controlling anger or rage, needs help with mindfulness and self-regulation"
76,Clinical Anxiety,"for preclinical, go to stress
"
77,Attendance Problems,"user has problems going to and staying at school or work on time/for required time consistently, frequent call-outs"
78,Autism (Self),"diagnosed with autism (with or without speech delay), pervasive developmental disorder, global delays"
79,Challenging Behaviors,"Do we need separate ones for adult and kids? @Caitlin Ryan Marcus If so the school conduct problem can be for kids.
"
80,Job Hunting,"tough job market, hard to find employment after college even if highly qualified, tons of competition"
81,Communication Deficits,"want to become a more effective communicator, advocate for self, improve relationships
"
82,Bored,"no purpose, nothing to do
"
83,Discrimination/Racism,"user is part of a marginalized group, exclusion, bullying, microaggression"
84,Drug Use,"cocaine, heroin, pills, ketamine, fentanyl, crack cocaine, methamphetamines"
85,Executive Functioning Skills,"user's ability to plan ahead, control impulses. adhd, autism, learning disabilities, intellectual disability, addiction
"
86,Good Families,already pretty good family dynamimcs and motivated to maintain or grow further
87,Build wealth,"want to make more money, save money, invest money"
88,Bad Friends,"bad influences or friends who don't support them.  have these friends but still lonely
"
89,Hyperactivity/Inattention,Pre-ADHD diagnosis
90,Intellectual disability ID,diagnosis of intellectual disability/low IQ
91,Learning disability,"Dyslexia, dysgraphia, auditory processing difficulties, dyspraxia "
92,Poor Marriage,"marriage has problems, arguments, fighting, addiction, etc
"
93,Poor Mental Health,Pre-diagnosis
94,Motivation and procrastination,not quite on top of things but not yet behind on work.  
95,Parenting Stress,"struggling with connecting with kids and discipline
"
96,Perfectionism,Fear of failure and feeling unnecessary stress from perfectionism
97,Personal Care and Hygiene,skills related to taking care of oneself
98,Declining physical health,want to get healthier. general health problems.   no series illnesses
99,Resilience,"giving up too quickly or easily, can't bounce back"
100,Self-Regulation and Coping,"""overreacting"" "
101,Estranged families,"family members on non-speaking terms (i.e. grandparents, siblings)"
102,Need Tolerance Inclusion,"extremists, bigots.  people who need more tolerance"
103,Trauma,"emotional abuse, need help setting boundaries"
104,Stress,general stress management
105,Debt,trying to get rid of debt and save more
106,Sleep Disturbance,"Unhealthy sleeping patterns, like inability to fall or stay asleep, frequent waking at night, consistently getting less than 7 hours per night"
107,Eating Disorder,"anorexia, bulimia, binge eating"
108,Aging,"dealing with natural changes in appearance, physical, mental capacities.  For disease, also tag Poor physical health"
109,Vaping/Smoking,Consuming nicotine vapor or cigarette smoke
110,Maintaining Employment,"keeping up with job duties harder for people with autism, adhd, depression, bipolar, substance abuse"
111,Just Relocated,"moved house recently, assimilation, culture shock, loneliness, making friends"
112,Diagnosed Depression,"diagnosis of depression or persistent depression symptoms, no energy, no pleasure, can escalate to suicide"
113,Behind on work,"boss has noticed loss of productivity, performance improvement plan"
114,FBA,working with an ABA agency or school on obtaining an FBA
115,Sibling Rivalry,"Interpersonal problems or fighting between siblings, need help with communication, boundaries, parent relations"
116,Suicidal Ideations,having thoughts about suicide or dying
117,Suicide Risk,action plans made for suicide and need external support
118,Emotional Abuse,"neglected or gaslit by romantic partner, parent, caregiver, trauma bonds"
119,Divorcing parents,user's parents are separated/divorced or separating/divorcing. 
120,No Friends,"user wants to make friends
"
121,SPED caregiver,burnout and stress from caring for high needs family members
122,Transition to adulthood/independence,"special ed and older teens/young adults who are finishing college, moving out, getting their own place, figuring out how to be independent"
123,Loneliness,"having no friends, feel like they have no one to talk to "
124,Poor social skills,"has a hard time connecting with other people, having smooth conversations, knowing how to act in certain situations"
125,Social anxiety,"difficulty approaching others, ordering food, making phone calls, can also be neurodivergent or have clinical anxiety"
126,Lack of confidence,"wants to gain confidence and feel good about themselves
"
127,Personal Growth and Self-Actualization,this user is seeking more fulfillment and purpose in life
128,Hoarding,
129,Poverty,"living below the poverty line or significant debt. money troubles, no savings, can't pay bills every month"
130,Bipolar,"diagnosed with bipolar 1 or 2, or cyclothymia (a less severe version of BP2)"
131,Chronic illness,"lupus, diabetes, parkinsons, fibromyalgia, multiple sclerosis, and other progressive, terminal, or longterm medical diagnoses"
132,Sportmanship,"sore loser, too competitive"
133,General Intake,
134,Physical abuse,"punching, hitting, choking, scratching, throwing items "
135,Sexual abuse,"unwanted touching, sexual harrassment, rape, sexual assault, adult on adult, adult on minor"
136,Child abuse,need to heal from trauma from past event(s) in childhood
137,Incarcerated parent,"one or both parents are in jail or prison
"
138,Active Abuse,"can be sexual, physical, emotional, neglect, psychological, financial, reproductive"
139,ESL,ESL
140,unhappy with coach,unhappy with coach
141,Better academics,"want/need to do better in school.  If just not doing the work, tag behind on work or motivation/procrastination"
142,Active Quest,user is a primary or participating quester
143,ADHD ,diagnosed with ADHD or suspects ADHD
144,Excess Alcohol,"dealing with stress by excessive drinking, binge drinking, relationships and connectedness"
145,Anger ,"difficulty controlling anger or rage, needs help with mindfulness and self-regulation"
146,Clinical Anxiety,"for preclinical, go to stress
"
147,Attendance Problems,"user has problems going to and staying at school or work on time/for required time consistently, frequent call-outs"
148,Autism (Self),"diagnosed with autism (with or without speech delay), pervasive developmental disorder, global delays"
149,Challenging Behaviors,"Do we need separate ones for adult and kids? @Caitlin Ryan Marcus If so the school conduct problem can be for kids.
"
150,Job Hunting,"tough job market, hard to find employment after college even if highly qualified, tons of competition"
151,Communication Deficits,"want to become a more effective communicator, advocate for self, improve relationships
"
152,Bored,"no purpose, nothing to do
"
153,Discrimination/Racism,"user is part of a marginalized group, exclusion, bullying, microaggression"
154,Drug Use,"cocaine, heroin, pills, ketamine, fentanyl, crack cocaine, methamphetamines"
155,Executive Functioning Skills,"user's ability to plan ahead, control impulses. adhd, autism, learning disabilities, intellectual disability, addiction
"
156,Good Families,already pretty good family dynamimcs and motivated to maintain or grow further
157,Build wealth,"want to make more money, save money, invest money"
158,Bad Friends,"bad influences or friends who don't support them.  have these friends but still lonely
"
159,Hyperactivity/Inattention,Pre-ADHD diagnosis
160,Intellectual disability ID,diagnosis of intellectual disability/low IQ
161,Learning disability,"Dyslexia, dysgraphia, auditory processing difficulties, dyspraxia "
162,Poor Marriage,"marriage has problems, arguments, fighting, addiction, etc
"
163,Poor Mental Health,Pre-diagnosis
164,Motivation and procrastination,not quite on top of things but not yet behind on work.  
165,Parenting Stress,"struggling with connecting with kids and discipline
"
166,Perfectionism,Fear of failure and feeling unnecessary stress from perfectionism
167,Personal Care and Hygiene,skills related to taking care of oneself
168,Declining physical health,want to get healthier. general health problems.   no series illnesses
169,Resilience,"giving up too quickly or easily, can't bounce back"
170,Self-Regulation and Coping,"""overreacting"" "
171,Estranged families,"family members on non-speaking terms (i.e. grandparents, siblings)"
172,Need Tolerance Inclusion,"extremists, bigots.  people who need more tolerance"
173,Trauma,"emotional abuse, need help setting boundaries"
174,Stress,general stress management
175,Debt,trying to get rid of debt and save more
176,Sleep Disturbance,"Unhealthy sleeping patterns, like inability to fall or stay asleep, frequent waking at night, consistently getting less than 7 hours per night"
177,Eating Disorder,"anorexia, bulimia, binge eating"
178,Aging,"dealing with natural changes in appearance, physical, mental capacities.  For disease, also tag Poor physical health"
179,Vaping/Smoking,Consuming nicotine vapor or cigarette smoke
180,Maintaining Employment,"keeping up with job duties harder for people with autism, adhd, depression, bipolar, substance abuse"
181,Just Relocated,"moved house recently, assimilation, culture shock, loneliness, making friends"
182,Diagnosed Depression,"diagnosis of depression or persistent depression symptoms, no energy, no pleasure, can escalate to suicide"
183,Behind on work,"boss has noticed loss of productivity, performance improvement plan"
184,FBA,working with an ABA agency or school on obtaining an FBA
185,Sibling Rivalry,"Interpersonal problems or fighting between siblings, need help with communication, boundaries, parent relations"
186,Suicidal Ideations,having thoughts about suicide or dying
187,Suicide Risk,action plans made for suicide and need external support
188,Emotional Abuse,"neglected or gaslit by romantic partner, parent, caregiver, trauma bonds"
189,Divorcing parents,user's parents are separated/divorced or separating/divorcing. 
190,No Friends,"user wants to make friends
"
191,SPED caregiver,burnout and stress from caring for high needs family members
192,Transition to adulthood/independence,"special ed and older teens/young adults who are finishing college, moving out, getting their own place, figuring out how to be independent"
193,Loneliness,"having no friends, feel like they have no one to talk to "
194,Poor social skills,"has a hard time connecting with other people, having smooth conversations, knowing how to act in certain situations"
195,Social anxiety,"difficulty approaching others, ordering food, making phone calls, can also be neurodivergent or have clinical anxiety"
196,Lack of confidence,"wants to gain confidence and feel good about themselves
"
197,Personal Growth and Self-Actualization,this user is seeking more fulfillment and purpose in life
198,Hoarding,
199,Poverty,"living below the poverty line or significant debt. money troubles, no savings, can't pay bills every month"
200,Bipolar,"diagnosed with bipolar 1 or 2, or cyclothymia (a less severe version of BP2)"
201,Chronic illness,"lupus, diabetes, parkinsons, fibromyalgia, multiple sclerosis, and other progressive, terminal, or longterm medical diagnoses"
202,Sportmanship,"sore loser, too competitive"
203,General Intake,
204,Physical abuse,"punching, hitting, choking, scratching, throwing items "
205,Sexual abuse,"unwanted touching, sexual harrassment, rape, sexual assault, adult on adult, adult on minor"
206,Child abuse,need to heal from trauma from past event(s) in childhood
207,Incarcerated parent,"one or both parents are in jail or prison
"
208,Active Abuse,"can be sexual, physical, emotional, neglect, psychological, financial, reproductive"
209,ESL,ESL
210,unhappy with coach,unhappy with coach
211,Better academics,"want/need to do better in school.  If just not doing the work, tag behind on work or motivation/procrastination"
212,Active Quest,user is a primary or participating quester
213,ADHD ,diagnosed with ADHD or suspects ADHD
214,Excess Alcohol,"dealing with stress by excessive drinking, binge drinking, relationships and connectedness"
