Activity Name,Type,Instruction/Content,Activity Image,Media,Quests (Goals),Concerns,Related Behaviors,Tag
1 minute belly breathing,Yes/No,"Title: 1-Minute Belly Breathing for Relaxation

Instructions:
Step 1: Find a quiet and comfortable place to sit or lie down. Close your eyes, if you feel comfortable doing so.
Step 2: Place one hand on your belly, just below your ribcage. Take a slow, deep breath in through your nose, and imagine filling up your belly with air like a balloon. Feel your belly rise as you breathe in.
Step 3: Hold your breath for a brief moment, and then slowly exhale through your mouth, letting all the air out. As you exhale, imagine deflating the balloon in your belly. Feel your belly fall as you breathe out.
Step 4: Repeat this slow, deep breathing pattern for one minute. Inhale through your nose, feel your belly rise, hold for a moment, exhale through your mouth, feel your belly fall. Keep your focus on your breath and the sensation of your belly rising and falling.
Step 5: After one minute, gently open your eyes if they were closed. Take a moment to notice how you feel. You may feel more relaxed, calmer, or more centered.

Example:
Once upon a time, there was a sixth-grader named Maya. Maya had a lot of things on her mind and often felt overwhelmed. One day, her teacher taught her a simple technique called 1-Minute Belly Breathing that could help her relax. Maya decided to try it out.

She found a quiet corner in her room, sat on a comfortable cushion, and closed her eyes. Following the instructions, she placed her hand on her belly and took a slow, deep breath in through her nose. Maya imagined her belly filling up with air, just like a balloon. She felt her belly rise as she breathed in.

After holding her breath for a moment, Maya slowly exhaled through her mouth, imagining the balloon in her belly deflating. She felt her belly fall as she breathed out. Maya repeated this pattern of breathing for one minute, focusing on her breath and the sensation of her belly rising and falling.

When the minute was up, Maya gently opened her eyes. She noticed that she felt more relaxed and calmer than before. The 1-Minute Belly Breathing had helped her let go of some of the stress and tension she was carrying. Maya realized she could use this technique whenever she needed a quick break to relax and reset.

Remember, practicing 1-Minute Belly Breathing regularly can be a helpful tool in managing stress and promoting relaxation.",,,De-stress and build my calming strategies,Self-Regulation and Coping,"Refusal to follow directions,Hitting others,Breaking others' things,Provoking Conflict with Others:,Hitting self,Food binging",
1 minute box breathing,Yes/No,"Instructions for 1 Minute Box Breathing:

Step 1: Find a quiet and comfortable place to sit or lie down. Take a moment to relax and clear your mind.

Step 2: Close your eyes and take a slow, deep breath in through your nose for a count of four. Imagine filling up your belly with air as you breathe in.

Step 3: Hold your breath for a count of four. Try to keep your body relaxed and your mind focused on your breath.

Step 4: Slowly exhale through your mouth for a count of four, completely emptying your lungs. As you breathe out, imagine releasing any tension or stress from your body.

Step 5: Hold your breath for another count of four. Keep your mind calm and focused on your breath.

Example:

Once upon a time, there was a fictional character named Alex, a sixth-grader who often felt overwhelmed with schoolwork and extracurricular activities. One day, Alex's teacher introduced the concept of box breathing as a way to manage stress and improve focus. Intrigued, Alex decided to give it a try.

In the evening, after finishing homework, Alex found a quiet spot in the bedroom and closed the door. Sitting on the edge of the bed, Alex took a moment to relax and let go of any worries. Then, following the instructions, Alex closed the eyes and began the 1 Minute Box Breathing exercise.

Taking a slow, deep breath in through the nose, Alex counted to four. It felt like filling up a balloon in the belly. Holding the breath for a count of four, Alex stayed focused on the breath and let go of any distracting thoughts. Slowly exhaling through the mouth for another count of four, Alex imagined releasing all the stress and tension from the body. Holding the breath for the final count of four, Alex remained calm and centered.

After completing the 1 Minute Box Breathing exercise, Alex opened the eyes and noticed a sense of calmness and clarity. The worries and stress that were present before seemed to have less power. Alex felt ready to tackle the remaining tasks of the day with renewed focus and energy.

Remember, practicing 1 Minute Box Breathing regularly can help you manage stress, improve focus, and promote a sense of calmness in your daily life.",,,De-stress and build my calming strategies,Self-Regulation and Coping,"Refusal to follow directions,Hitting others,Breaking others' things,Provoking Conflict with Others:,Hitting self,Food binging",
3 minute deep breathing break,Yes/No,"Instructions for a 3-Minute Deep Breathing Break:

Step 1: Find a quiet and comfortable spot where you can sit or lie down. Make sure you won't be disturbed for the next few minutes.

Step 2: Close your eyes gently and take a deep breath in through your nose. Imagine you are smelling a beautiful flower. Fill your lungs with air, and let your belly expand as you breathe in. Count to three as you inhale.

Step 3: Hold your breath for a brief moment, and then slowly exhale through your mouth. Picture blowing out a candle very softly. As you breathe out, count to three again.

Step 4: Repeat this deep breathing pattern for three minutes. Inhale for three counts, hold for a moment, and exhale for three counts. Try to focus only on your breath as you do this. If your mind starts to wander, gently bring your attention back to your breath.

Step 5: After three minutes, slowly open your eyes and take a moment to notice how you feel. Pay attention to any changes in your body or mind. Take a few more deep breaths if you need to, and when you're ready, continue with your day.

Example: Sarah, a sixth-grader, found herself feeling overwhelmed and anxious while studying for a big math test. She decided to take a 3-minute deep breathing break to calm her mind and regain focus. 

She found a quiet corner in her room, sat comfortably on a pillow, and closed her eyes. Sarah remembered the instructions she had learned earlier. She took a deep breath in through her nose, imagining the scent of a beautiful flower. She counted to three in her mind as she filled her lungs with air and let her belly expand. 

Next, Sarah held her breath for a moment and slowly exhaled through her mouth, imagining blowing out a candle very softly. She counted to three again as she released the air. She continued this deep breathing pattern for three minutes, focusing solely on her breath and gently bringing her attention back whenever her mind wandered.

After the three minutes were up, Sarah slowly opened her eyes and noticed a sense of calmness and clarity. Her racing thoughts had settled, and she felt more centered. With a clearer mind, she was able to go back to her math practice feeling more relaxed and focused.

Remember, taking regular deep breathing breaks can help reduce stress, increase focus, and promote overall well-being.",,,,"Self-Regulation and Coping,Sleep Disturbance","Refusal to follow directions,Hitting others,Breaking others' things,Provoking Conflict with Others:,Hitting self,Food binging",
3 unique things about me are:,Text,"Activity 1: Setting and Achieving Goals

Objective: To help improve goal-setting skills and develop a plan to achieve them.

Instructions:
Step 1: Start by identifying a specific goal you would like to achieve. It could be related to academics, sports, hobbies, or personal development.
Step 2: Break down your goal into smaller, manageable steps. For example, if your goal is to improve your grades, you could break it down into steps like organizing study materials, creating a study schedule, seeking help from teachers, etc.
Step 3: Prioritize the steps and create a timeline for each. Determine when you want to complete each step and set deadlines for yourself.
Step 4: Take action! Start working on the first step of your goal plan. Remember to stay focused, be persistent, and ask for support when needed.
Step 5: Reflect on your progress regularly. Celebrate small achievements along the way and make any necessary adjustments to your plan to stay on track.

Example: 
Emily, a fictional sixth-grader, wanted to improve her basketball skills. She followed the goal-setting instructions and identified her goal: to make the school basketball team next year. Emily broke down her goal into smaller steps, such as practicing dribbling, shooting, and conditioning. She created a timeline, deciding to practice for at least 30 minutes each day after school. Emily consistently followed her plan, sought advice from her coach, and even joined a local basketball clinic to improve her skills. After several months of hard work, Emily successfully made the school basketball team the following year, achieving her goal through perseverance and dedication.

Activity 2: Emotion Regulation

Objective: To develop strategies for managing and regulating emotions effectively.

Instructions:
Step 1: Identify and name the emotions you commonly experience. This could include happiness, anger, sadness, fear, etc.
Step 2: Practice recognizing the physical sensations that accompany each emotion. For example, noticing increased heart rate when feeling anxious or tension in the body when feeling angry.
Step 3: Explore healthy coping strategies to regulate emotions. These could include deep breathing exercises, journaling, talking to a trusted friend or family member, engaging in physical activity, or practicing mindfulness techniques.
Step 4: Experiment with different strategies and determine which ones work best for you in managing specific emotions.
Step 5: Regularly practice the chosen strategies whenever you experience intense emotions to develop a habit of effective emotion regulation.

Example:
John, a fictional sixth-grader, often struggled with managing his anger. He followed the instructions and identified anger as his primary emotion. John practiced recognizing the physical signs that indicated his anger, such as clenched fists and increased heart rate. He then tried different coping strategies, including taking deep breaths and counting to ten before reacting. John found that deep breathing helped him calm down and think more clearly in moments of anger. He began using this strategy whenever he felt his anger escalating, and over time, he noticed a significant improvement in his ability to regulate his emotions.

Activity 3: Effective Communication

Objective: To enhance communication skills and promote positive interactions with others.

Instructions:
Step 1: Practice active listening. When engaged in a conversation, focus your attention on the person speaking, maintain eye contact, and avoid interrupting.
Step 2: Practice expressing yourself clearly and respectfully. Use ""I"" statements to express your thoughts and feelings without blaming or attacking others.
Step 3: Develop empathy by putting yourself in the other person's shoes. Try to understand their perspective and validate their feelings.
Step 4: Practice assertiveness by expressing your needs and boundaries confidently while still respecting others' rights.
Step 5: Reflect on your communication interactions regularly. Identify areas for improvement and continue practicing effective communication skills.

Example:
Sarah, a fictional sixth-grader, often found it challenging to communicate her needs and feelings with her friends. She followed the instructions and practiced active listening, maintaining eye contact and nodding",,,"Self discovery.  Find out what I need.,Gratitude journaling",,,
5 things that made me feel peaceful today,Text,"Instructions: 5 Things that Made Me Feel Peaceful Today

Step 1: Reflect on your day
Take a few moments to think about your day and identify five things that made you feel peaceful. These can be activities, interactions, or moments that brought you a sense of calm and contentment.

Step 2: Write down your five peaceful experiences
Grab a piece of paper or a journal and write down your five peaceful experiences in a list format. Make sure to include a brief description of each experience, so you can remember them clearly.

Step 3: Choose one peaceful experience from your list
Look at your list and choose one peaceful experience that you would like to focus on. It could be the one that made you feel the most peaceful or the one that stands out to you the most.

Step 4: Imagine yourself experiencing that peaceful moment
Take a deep breath and close your eyes. Imagine yourself in that peaceful moment again. Picture the details, the environment, and the people involved. Try to recreate the feelings of peace and tranquility that you experienced during that time.

Step 5: Practice gratitude and positivity
After imagining the peaceful moment, take a moment to feel grateful for that experience. Think about why it made you feel peaceful and acknowledge the positive impact it had on your well-being. You can even say a few words of gratitude out loud or write them down in your journal.

Example: Emma's Peaceful Moment

Emma, a fictional sixth-grader, tried the exercise of reflecting on her day and identifying five things that made her feel peaceful. She wrote them down in her journal:

1. Sitting under a tree and listening to the birds chirping.
2. Hugging her pet dog and feeling its warmth.
3. Reading a book in her favorite cozy nook.
4. Taking a walk in the park and feeling the breeze on her face.
5. Having a conversation with her best friend and laughing together.

Emma chose the peaceful experience of hugging her pet dog and decided to focus on it. She closed her eyes, took a deep breath, and imagined herself hugging her dog again. She visualized the soft fur, the wagging tail, and the unconditional love she felt in that moment. As she recreated the peaceful feelings, she expressed gratitude for her furry friend and the comfort it brings to her life.

By following these steps, you can explore and appreciate the peaceful moments in your day, enhancing your social and emotional well-being. Remember to repeat this exercise regularly to cultivate a sense of peace and gratitude in your life.",,,Gratitude journaling,,,
5 ways my life is awesome:,Text,"Title: 5 Ways My Life is Awesome!

Objective: To promote social and emotional well-being by engaging in activities that highlight the positive aspects of life. By completing these steps, individuals can gain a better understanding of their own strengths and develop a positive outlook.

Instructions:

Step 1: Gratitude Journaling
Materials needed: A notebook or journal, pen or pencil

1. Begin by finding a quiet and comfortable space where you can focus.
2. Open your gratitude journal and write today's date at the top of a new page.
3. Reflect on your day and think about three things that made you feel happy, grateful, or appreciative.
4. Write down these three things in your journal, explaining why they made you feel this way.
5. Take a moment to re-read your entries and allow yourself to feel the positive emotions associated with them.

Example: Emma's Gratitude Journaling
Emma, a fictional sixth-grader, sat down in her cozy room after a long day at school. She opened her colorful gratitude journal and wrote today's date at the top of a new page. She reflected on her day and thought about three things that brought her joy. Emma wrote about how her best friend made her laugh during lunch break, the beautiful sunset she saw on her way home, and how her mom surprised her with her favorite dessert after dinner. As she wrote, Emma couldn't help but smile, feeling grateful for these positive experiences. She closed her journal, feeling uplifted and ready to tackle whatever challenges tomorrow might bring.

Step 2: Positive Affirmations
Materials needed: None

1. Find a quiet and comfortable space where you can be alone with your thoughts.
2. Close your eyes, take a deep breath, and think about a positive trait or quality that you possess.
3. Repeat this positive affirmation silently in your mind, focusing on its meaning and allowing yourself to believe in it.
4. Spend a few minutes repeating this affirmation, using different positive qualities each time.
5. Open your eyes and take a moment to reflect on how these positive affirmations make you feel.

Example: Alex's Positive Affirmations
Alex, a fictional sixth-grader, found a cozy corner in their bedroom where they could be alone with their thoughts. They closed their eyes, took a deep breath, and thought about their creativity. Alex silently repeated, ""I am creative, and my ideas are valuable."" They focused on the meaning of this affirmation and allowed themselves to believe in it. After a few minutes, Alex switched to another positive quality, repeating, ""I am kind, and my words have the power to brighten someone's day."" As they opened their eyes, Alex felt a renewed sense of self-confidence and positivity.

Step 3: Acts of Kindness
Materials needed: None

1. Think about someone in your life who could use a kind gesture or support.
2. Brainstorm three simple acts of kindness you could do for this person.
3. Choose one of these acts and put it into action.
4. Reflect on how performing this act made you feel and the impact it had on the other person.
5. Repeat this process with different individuals, aiming to spread kindness regularly.

Example: Ethan's Acts of Kindness
Ethan, a fictional sixth-grader, thought about his younger sister, Lily, who had been feeling down lately. He brainstormed three simple acts of kindness: making her favorite snack, helping her with homework, and drawing her a picture. Ethan decided to make her favorite snack, chocolate chip cookies, and surprised her after school. Lily's face lit up with joy, and Ethan felt a warm sense of satisfaction and love. Seeing how happy his act of kindness made his sister, Ethan decided to continue spreading kindness to others in his life.

Step 4: Positive Self-Talk
Materials needed: None

1. Choose a situation or task where you often doubt yourself or feel anxious.
2",,,Gratitude journaling,,,
Admit when I'm wrong,Yes/No,"Title: Admit When I'm Wrong

Objective: To develop the skill of admitting when one is wrong and taking responsibility for one's actions.

Instructions:

Step 1: Recognize the mistake
- Reflect on the situation and identify if there is something you did wrong or a mistake you made.
- Understand that everyone makes mistakes, and it is important to acknowledge them.

Step 2: Accept responsibility
- Understand that admitting when you are wrong is a sign of maturity and honesty.
- Take ownership of your actions and understand the consequences they may have caused.

Step 3: Apologize sincerely
- Approach the person/people affected by your mistake.
- Offer a genuine and heartfelt apology, acknowledging your wrongdoing and expressing remorse.

Step 4: Make amends, if possible
- Determine if there is anything you can do to make up for your mistake or rectify the situation.
- If appropriate, take action to fix any damage caused or prevent similar mistakes in the future.

Step 5: Learn from the experience
- Reflect on the mistake and consider what you have learned from it.
- Identify strategies or behaviors that can help you avoid similar mistakes in the future.

Example:
Once upon a time, there was a fictional character named Alex, a sixth-grader who had a hard time admitting when they were wrong. One day, Alex accidentally broke their friend's favorite toy while playing. Instead of denying it or hiding the broken toy, Alex remembered the steps they learned about admitting when they were wrong.

Step 1: Alex recognized the mistake when they saw the broken toy and remembered that they were the one who broke it.

Step 2: Alex accepted responsibility and understood that it was important to admit their mistake. They knew it was the right thing to do.

Step 3: Alex approached their friend, sincerely apologized, and explained what happened. They admitted their mistake and genuinely expressed remorse.

Step 4: Alex asked their friend if there was anything they could do to make up for breaking the toy. They offered to contribute their allowance to help buy a new one or find a way to fix it if possible.

Step 5: Alex reflected on the experience and learned that it is better to admit mistakes and take responsibility rather than trying to hide or deny them. They also learned to be more careful and considerate when playing with other people's belongings.

By following these steps, Alex successfully admitted when they were wrong, took responsibility for their actions, and worked towards making amends. They learned an important lesson about honesty and integrity.",,,Resolve conflicts peacefully and fairly,,,
allow myself a small portion of a favorite food daily or weekly,Yes/No,"Instructions: Allowing Yourself a Small Portion of a Favorite Food

Step 1: Choose a Favorite Food
Think about a food that you really enjoy and consider it as your favorite food. It could be something like pizza, ice cream, or chocolate. Make sure it is something that you can have in small portions.

Step 2: Set a Schedule
Decide how often you want to have this favorite food. You can choose to have it daily or weekly. Think about what works best for you and your goals. Remember, it's important to have balance and moderation.

Step 3: Determine the Portion Size
Decide on an appropriate portion size for your favorite food. This means choosing how much of it you will allow yourself to have each time. It's important to be mindful of the portion size to maintain a healthy balance.

Step 4: Stick to the Plan
Now that you have chosen your favorite food, set a schedule, and determined the portion size, it's time to stick to the plan. Remind yourself of your goals and why you want to have this food in moderation. Stay committed to your plan and avoid going overboard.

Step 5: Reflect and Adjust
After a week or two of following your plan, take some time to reflect on how it's going. Ask yourself if you are finding it manageable and if you are still enjoying your favorite food in moderation. If needed, make adjustments to your schedule or portion size to ensure it aligns with your goals and overall wellbeing.

Example:
Samantha, a fictional sixth-grader, loves chocolate chip cookies. She understands that having too many cookies can be unhealthy, but she wants to enjoy them in moderation. Samantha follows these steps to allow herself a small portion of her favorite food:

Step 1: Choose a Favorite Food
Samantha considers her options and decides that chocolate chip cookies are her favorite food.

Step 2: Set a Schedule
She decides to have one cookie every Friday as a little treat at the end of the school week.

Step 3: Determine the Portion Size
Samantha thinks about what a reasonable portion size for a cookie would be. She decides on one medium-sized cookie.

Step 4: Stick to the Plan
Every Friday, Samantha enjoys her one cookie as a reward for her hard work during the week. She reminds herself that this is her special treat and resists the temptation to have more.

Step 5: Reflect and Adjust
After a month, Samantha reflects on her plan and realizes that it's working well for her. She finds it manageable to have one cookie a week and feels satisfied with her portion size. She decides to continue following the same plan.

By following these steps, Samantha successfully allows herself a small portion of her favorite food, enjoying it in moderation while maintaining a healthy balance.",,,Healthy relationship with food,"Self-Regulation and Coping,Trauma,Declining physical health","Food binging,Severe calorie restriction ",
"allow someone to help me instead of saying ""I got it""",Yes/No,"Instruction: Allowing Someone to Help You Instead of Saying ""I Got It""

Step 1: Identify a Task or Situation

Think of a task or situation where you could use some help. It could be something like carrying heavy books, solving a difficult math problem, or organizing your school supplies.

Example: Sarah, a sixth-grader, had a challenging math problem that she was struggling to solve. She felt frustrated and stuck, but instead of saying ""I got it,"" she decided to seek help from her friend, Emma.

Step 2: Recognize Your Need for Help

Acknowledge that you need assistance with the task or situation. Remind yourself that asking for help is a sign of strength, not weakness. Understand that it's okay to seek guidance or support when you need it.

Example: Sarah realized that she needed help with the math problem because she couldn't figure it out on her own. She understood that asking Emma for assistance didn't mean she was incapable; it simply meant she recognized the value of collaboration.

Step 3: Communicate Your Need for Help

Express your need for help to the person you trust and believe can assist you. Use clear and polite language to convey your request. Be specific about the task or situation you need help with.

Example: Sarah approached Emma and said, ""Hey, Emma! I'm having trouble solving this math problem. Could you please help me understand it?""

Step 4: Listen and Be Open

Listen attentively to the person offering help. Be open to their suggestions, guidance, or explanations. Avoid interrupting or dismissing their input. Remember, their intention is to assist you, so give them a chance to contribute.

Example: Sarah attentively listened to Emma as she explained the steps to solve the math problem. She kept an open mind and didn't interrupt, allowing Emma to provide the guidance she needed.

Step 5: Appreciate and Learn

After receiving help, express your gratitude to the person who assisted you. Thank them for their support and let them know how their help made a positive impact. Additionally, try to learn from the experience, so you can develop your skills for future challenges.

Example: Sarah thanked Emma for her help and said, ""I really appreciate you taking the time to explain the math problem to me. Your guidance made it much clearer, and now I understand how to solve similar problems in the future.""

Remember, it's essential to practice asking for help when needed. By allowing others to assist you, you are fostering collaboration, building relationships, and developing your own skills. Asking for help is a valuable life skill that helps us grow and learn from one another.",,,Self advocacy. Set myself up for success.,Self-Regulation and Coping,Disrupting class (calling out),
Anything you really don’t like doing?,Yes/No,"Title: Overcoming Tasks You Don't Enjoy

Instructions:

Step 1: Identify the task you don't enjoy
Think about activities or tasks that you find challenging or simply don't like doing. It could be something like cleaning your room, doing homework, or practicing a musical instrument. Choose one task that you want to work on for this activity.

Step 2: Break the task into smaller parts
Divide the task into smaller, more manageable steps. For example, if the task is cleaning your room, you can break it down into tasks like organizing your books, making your bed, and tidying up your desk. Write down these smaller parts to help you remember them.

Step 3: Set a goal and reward
Set a specific goal for completing the task. It could be finishing a particular section or spending a certain amount of time on the task. Also, decide on a small reward that you'll give yourself once you achieve the goal. It could be something like watching your favorite TV show, playing a game, or enjoying a snack.

Step 4: Focus on positive self-talk
During the task, pay attention to your thoughts and replace any negative or unhelpful thoughts with positive ones. For example, instead of thinking, ""I hate doing this,"" try telling yourself, ""I can do this, and I'll feel proud once it's done."" Positive self-talk can help you stay motivated and make the task more enjoyable.

Step 5: Celebrate your achievement
Once you complete the task or reach your goal, take a moment to celebrate your accomplishment. Give yourself the reward you planned earlier and acknowledge the effort you put in. You can also share your achievement with someone you trust, like a family member or friend, who can provide encouragement and support.

Example:
Sarah, a sixth-grade student, often found it challenging to complete her math homework. She followed the steps outlined above to overcome her dislike for this task. First, she identified the task she didn't enjoy, which was doing math homework. Then, Sarah divided her homework into smaller parts by breaking down each problem into individual steps. She set a goal to finish half of her math assignment and rewarded herself with a short break to play her favorite video game once she accomplished it. Throughout the task, Sarah practiced positive self-talk, reminding herself that she was capable of solving the problems and that it would benefit her in the long run. Finally, after completing her goal, Sarah celebrated her achievement by sharing her progress with her parents, who praised her hard work and dedication.",,,,,,
