Activity Name,Quests (Goals),Concerns,Related Behaviors,Tag,Instruction/Content,Activity Image,Media,Created By,Name,Status
1 minute belly breathing,De-stress and build my calming strategies,"Self-Regulation and Coping,Stress,Estranged families,Parenting Stress","Refusal to follow directions,Hitting others,Breaking others' things,Provoking Conflict with Others:,Hitting self,Food binging",,"Steps:
Step 1: Find a quiet and comfortable place to sit or lie down. Make sure you won't be disturbed for the next minute.

Step 2: Close your eyes and take a deep breath in through your nose, filling your belly with air. Imagine your belly expanding like a balloon as you breathe in.

Step 3: Slowly exhale through your mouth, letting all the air out of your belly. Imagine your belly deflating like a balloon as you breathe out.

Step 4: Continue breathing in through your nose, filling your belly with air, and breathing out through your mouth, emptying your belly. Focus on your breath and try to make it slow and steady.

Step 5: Keep practicing this belly breathing for one minute. If your mind starts to wander, gently bring your attention back to your breath. After one minute, slowly open your eyes and take a moment to notice how you feel.

Example:
Samantha found a cozy spot in her room, away from any distractions. She closed her eyes and took a deep breath in through her nose, feeling her belly expand like a big balloon. As she exhaled through her mouth, she imagined all the air leaving her belly, and it deflated like a balloon losing its air. She continued this pattern of breathing, focusing on her breath and making it slow and steady. Samantha felt a sense of calmness and relaxation as she practiced her belly breathing for one whole minute. When she finished, she slowly opened her eyes and noticed how much more peaceful she felt.",,,Caitlyn Wang,,Reviewing
1 minute box breathing,De-stress and build my calming strategies,"Self-Regulation and Coping,Stress,Estranged families,Parenting Stress","Refusal to follow directions,Hitting others,Breaking others' things,Provoking Conflict with Others:,Hitting self,Food binging",,"Steps:
Step 1: Find a quiet and comfortable place to sit or lie down. Take a moment to relax and let go of any tension in your body.

Step 2: Close your eyes or find a focal point to gently gaze at. Take a deep breath in through your nose, counting to four slowly in your mind.

Step 3: Hold your breath for a count of four. Feel the air filling up your lungs, and notice the sensation of your chest expanding.

Step 4: Slowly exhale through your mouth, counting to four in your mind. As you breathe out, imagine all the stress and tension leaving your body.

Step 5: Hold your breath for another count of four. Notice the stillness and calmness that comes with holding your breath.

Example:
Meet Emily, a sixth-grader who has been feeling a little overwhelmed with schoolwork lately. She decides to try box breathing to help her relax and focus. She finds a cozy spot on her bedroom floor and closes her eyes, taking a deep breath in through her nose. As she breathes in, she counts slowly in her mind: one, two, three, four. Holding her breath for the count of four, she feels her chest expanding and imagines all the fresh air filling up her lungs. Slowly exhaling through her mouth, she counts to four again, visualizing all the stress and tension leaving her body with each breath. As Emily continues to breathe out, she feels a sense of relief and relaxation washing over her. She holds her breath for another count of four, enjoying the stillness and calmness that comes with it. Emily repeats this box breathing exercise for one minute, feeling more centered and ready to tackle her schoolwork with a clear mind.

Remember, you can always adjust the counts to match your own breathing rhythm and comfort level.",,,Caitlyn Wang,,Reviewing
3 minute deep breathing break,"Improve anger management.,Regular self-care ,De-stress and build my calming strategies","Self-Regulation and Coping,Stress,Estranged families,Parenting Stress","Refusal to follow directions,Hitting others,Breaking others' things,Provoking Conflict with Others:,Hitting self,Food binging,Drinking alcohol,Smoking,Hair pulling,Biting self,Hitting/spanking,Negative self-talk,""Mean remarks about looks, intelligence, potential"",Yanking/excessive physical force,Yelling reprimands",,"Steps:
Step 1: Find a quiet and comfortable place to sit or lie down. Close your eyes, relax your body, and take a moment to settle into a comfortable position.

Step 2: Take a slow, deep breath in through your nose, filling your lungs with air. Imagine that you are filling up a balloon in your belly as you breathe in. Hold your breath for a few seconds.

Step 3: Slowly exhale through your mouth, letting all the air out of your lungs. Imagine that you are deflating the balloon in your belly as you breathe out. Pay attention to the feeling of releasing the air and any tension leaving your body.

Step 4: Repeat the deep breathing cycle two more times. As you continue to breathe deeply, focus your attention on the sensation of your breath going in and out. Notice the rise and fall of your chest or the feeling of air passing through your nostrils.

Step 5: After three cycles of deep breathing, take a moment to check in with yourself. Notice how your body feels, any changes in your mood or thoughts, and any sense of calm or relaxation that may have come over you. When you're ready, slowly open your eyes and return to your regular activities.

Example:
Meet Sarah, a sixth-grader who is feeling a bit overwhelmed by all the tasks she needs to complete for her school assignments. She decides to take a 3-minute deep breathing break to help her relax and refocus her mind.

Sarah finds a cozy spot in her room, sits down on her soft beanbag chair, and closes her eyes. She takes a deep breath in through her nose, imagining that she is inflating a balloon in her belly. Holding her breath for a few seconds, she feels a sense of calmness building up inside her.

Exhaling slowly through her mouth, Sarah visualizes all the stress and tension leaving her body, just like deflating a balloon. She repeats this deep breathing cycle two more times, focusing on the sensation of her breath going in and out.

As Sarah continues to breathe deeply, she notices how her body feels more relaxed, and her thoughts begin to slow down. She pays attention to the rise and fall of her chest, feeling a sense of peace and tranquility washing over her.

After three cycles of deep breathing, Sarah takes a moment to check in with herself. She realizes that her mind feels clearer, and the overwhelming feeling has subsided. Feeling refreshed and ready to tackle her schoolwork, she slowly opens her eyes and gets back to her assignments, knowing that she can return to deep breathing whenever she needs a moment of calm.

Remember, deep breathing breaks can be a helpful tool for anyone, including sixth-graders like Sarah, to reduce stress and promote a sense of well-being.",,,Caitlyn Wang,,Reviewing
Admit when I'm wrong,"Resolve conflicts peacefully and fairly,Express my love and appreciation better.","Anger Management,Estranged families,Communications,Personal Growth and Self-Actualization,Poor Marriage,Emotional Abuse","Putting others down,""Talking back, rude tone/words"",Making jokes I know my kids don't like/teasing after told to stop",,"Steps:
Step 1: Reflect on the situation: Take a moment to think about what happened and how your actions or words may have affected others. Consider if you made a mistake or hurt someone's feelings.

Step 2: Take responsibility: Once you've recognized your mistake, it's important to own up to it. Admit that you were wrong and acknowledge the impact it had on others. This shows maturity and willingness to make amends.

Step 3: Apologize sincerely: Approach the person or people affected by your actions and apologize genuinely. Use ""I"" statements to express your remorse and avoid making excuses or blaming others.

Step 4: Learn from your mistake: Reflect on what led to your error and think about how you can avoid making the same mistake in the future. Consider what you can do differently next time to prevent similar situations from happening.

Step 5: Make amends: If possible, take action to make things right. This could involve offering to help fix any damage caused, making a sincere effort to change your behavior, or finding ways to demonstrate that you have learned from your mistake.

Example:
Once upon a time, there was a sixth-grader named Alex who prided themselves on being right most of the time. However, one day, during a group project, Alex realized that they had made a mistake in their calculations, causing the entire team to receive a lower grade than expected.

Step 1: Reflect on the situation: As the teacher handed back the graded projects, Alex noticed the disappointment on their teammates' faces. They began to reflect on what had happened and how their miscalculations had affected the outcome.

Step 2: Take responsibility: Alex decided to take responsibility for their mistake. They approached their teammates and admitted that they had made an error in the calculations, leading to the lower grade. They acknowledged the impact it had on everyone and expressed their sincere regret.

Step 3: Apologize sincerely: Alex approached their teammates, looked them in the eye, and said, ""I'm really sorry for my mistake. I messed up the calculations, and I understand that it affected all of us. I take full responsibility for it.""

Step 4: Learn from your mistake: As Alex reflected on what had happened, they realized that they had rushed through the calculations without double-checking their work. They made a mental note to slow down in the future, ensuring they paid closer attention to detail.

Step 5: Make amends: Alex approached their teacher and asked if there was any way they could help fix the situation. The teacher appreciated their willingness to make amends and suggested that Alex could assist their teammates in improving their next project.

In the end, Alex's willingness to admit their mistake, apologize sincerely, and take responsibility not only helped repair the relationship with their teammates but also taught them an important lesson about the importance of being accountable for their actions.",,,Caitlin Ryan Marcus,,Reviewing
allow myself a small portion of a favorite food daily or weekly,Healthy relationship with food,"Self-Regulation and Coping,Trauma,Declining physical health,Eating Disorder","Food binging,Severe calorie restriction ,Food purging",,"Steps:
Step 1: Identify your favorite food: Take a moment to think about the food that brings you joy and satisfaction. It could be a sweet treat like chocolate or a savory dish like pizza.

Step 2: Decide on the portion size: Determine the appropriate portion size that allows you to enjoy your favorite food without overindulging. Remember, the goal is to have a small portion to savor and enjoy, not to overeat.

Step 3: Set a frequency: Decide whether you want to allow yourself a small portion of your favorite food daily or weekly. Consider what works best for you and your lifestyle. It's important to strike a balance between enjoying your favorite food and maintaining a healthy diet.

Step 4: Plan ahead: Prepare yourself by making sure you have your favorite food available in the appropriate portion size. This will help you resist the temptation to eat more than you planned.

Step 5: Enjoy mindfully: When the time comes to indulge in your small portion of favorite food, savor each bite mindfully. Pay attention to the taste, texture, and aroma. Allow yourself to fully enjoy the experience without feeling guilty.

Example:
Meet Sarah, a sixth-grade student who loves chocolate chip cookies. She knows that she shouldn't eat a whole plate of cookies in one sitting, but she still wants to enjoy them in moderation. 

One day, Sarah takes a moment to think about her favorite food and realizes that chocolate chip cookies bring her the most joy. She decides that she will allow herself a small portion of cookies every week.

To make sure she doesn't overdo it, Sarah plans ahead. She buys a small pack of chocolate chip cookies and divides them into individual portions. Each portion contains two cookies, which she feels is just the right amount to satisfy her craving without going overboard.

Finally, the day arrives when Sarah can enjoy her small portion of cookies. She sits down at the kitchen table, takes a deep breath, and begins to eat mindfully. As she bites into the first cookie, she notices the rich chocolate chips melting in her mouth. She takes her time, savoring each bite, and truly enjoying the experience.

Sarah feels proud of herself for finding a balance between indulging in her favorite food and maintaining a healthy lifestyle. By allowing herself a small portion of cookies weekly, she knows she can enjoy them guilt-free and still take care of her overall wellbeing.",,,Caitlyn Wang,,Reviewing
"allow someone to help me instead of saying ""I got it""","Self advocacy. Set myself up for success.,Increase communication skills.,Strengthen my marriage","Self-Regulation and Coping,Challenging Behaviors,Poor social skills,Motivation and procrastination,Parenting Stress,Stress","Workaholic/Overworking,Being late/unprepared,Procrastinating",,"Steps:
Step 1: Identify when you need help
- Pay attention to situations where you feel overwhelmed or unsure.
- Notice when you start to struggle with a task or feel stuck.
- Recognize when asking for help could make things easier or more efficient.

Step 2: Express your need for help
- Clearly communicate your need for assistance using polite and respectful language.
- Use phrases like ""Can you please help me with this?"" or ""I would appreciate your assistance.""
- Avoid saying ""I got it"" when you actually need help.

Step 3: Specify what kind of help you need
- Clearly state the specific task or problem you need help with.
- Be specific about what you want the person to do or what kind of guidance you are seeking.
- Provide any necessary background information to help the person understand the situation better.

Step 4: Listen and follow instructions
- Pay attention to the person offering help and listen carefully to their instructions.
- Ask questions if something is unclear or if you need further clarification.
- Follow the instructions given to you to the best of your ability.

Step 5: Show gratitude and appreciation
- Thank the person sincerely for their help and acknowledge their effort.
- Express your appreciation by saying ""Thank you for helping me, I really appreciate it.""
- Let the person know how their assistance made a positive difference for you.

Example:
Emma was working on a math assignment when she came across a difficult problem. She felt frustrated and stuck, but she remembered her life coach's advice about asking for help instead of insisting ""I got it."" Recognizing her need for assistance, she took a deep breath and approached her classmate, Sarah.

""Hey Sarah,"" Emma said politely, ""I'm having trouble with this math problem. Could you please help me figure it out?"" Emma didn't just stop there; she continued, ""It's question number 5, and I'm struggling to understand how to solve it.""

Sarah, noticing Emma's sincere request, smiled and agreed to help. She carefully explained the steps to Emma, breaking down the problem into manageable parts. Emma listened attentively, making sure she understood each step. She asked Sarah a few questions for clarification and then began working on the problem following Sarah's instructions.

After successfully solving the problem, Emma couldn't contain her gratitude. ""Thank you so much for your help, Sarah! I really appreciate it,"" she exclaimed. Sarah smiled back, happy to have been able to assist Emma.

By recognizing her need for help and expressing it clearly, Emma was able to overcome her challenge with the support of a friend. She learned the importance of asking for assistance when needed and showing gratitude towards those who lend a helping hand.",,,Caitlyn Wang,,Reviewing
Apologize for what I did to hurt someone,"Resolve conflicts peacefully and fairly,Strengthen my marriage,Deepen the most important relationships","Self-Regulation and Coping,Personal Growth and Self-Actualization,Estranged families,Poor Marriage,Emotional Abuse","Doing nothing,Provoking Conflict with Others:",,"Steps:
Step 1: Reflect on your actions

Take some time to think about what you did that hurt someone. Consider the impact of your behavior on the other person's feelings and well-being. It's important to understand the consequences of your actions before you apologize.

Step 2: Take responsibility for your actions

Acknowledge and accept that you made a mistake and that your actions caused harm. It's essential to take ownership of your behavior and not make excuses or shift blame onto others. Remember, apologizing shows maturity and a willingness to make amends.

Step 3: Plan what you want to say

Think about what you want to say when you apologize. It's helpful to plan ahead so that you can express your remorse sincerely and clearly. Consider using ""I"" statements to take ownership of your actions and express empathy towards the person you hurt.

Step 4: Apologize sincerely

Find a suitable time and place to apologize to the person you hurt. Approach them calmly and respectfully. Begin by explaining that you want to apologize for your actions. Use the planned words from Step 3 to express your remorse and acknowledge the pain you caused. Be genuine and sincere in your apology.

Step 5: Make amends

After apologizing, ask the person if there is anything you can do to make it right or to repair the damage caused. Listen attentively to their response and be willing to make amends, if possible. Sometimes, making amends may involve actions such as helping them with something, offering support, or changing your behavior in the future.

Example:
Once upon a time, there was a sixth-grader named Alex who realized they had hurt their friend, Sarah. Alex spent some time reflecting on their actions and understood that their behavior had caused Sarah emotional pain. They knew it was important to take responsibility for their actions and not make excuses.

Alex decided to plan what they wanted to say when apologizing to Sarah. They wrote down their thoughts and rehearsed how they would express their remorse sincerely. They wanted to make sure Sarah understood how truly sorry they were.

One day, during lunch break, Alex approached Sarah calmly and respectfully. They found a quiet corner where they could talk privately. Taking a deep breath, Alex began by saying, ""Sarah, I wanted to talk to you because I realized that what I did hurt your feelings, and I am truly sorry."" Sarah looked at Alex, surprised by their sincere tone.

Alex continued, ""I know I made a mistake, and I want to take responsibility for it. It was wrong of me to say those hurtful things, and I understand how much it hurt you. I hope you can find it in your heart to forgive me."" Sarah could see the genuine remorse in Alex's eyes and felt that they truly meant what they were saying.

After apologizing, Alex asked Sarah if there was anything they could do to make it right. Sarah thought for a moment and suggested that Alex help her with a school project she was struggling with. Alex agreed wholeheartedly, grateful for the opportunity to make amends. From that day forward, Alex made an effort to be more mindful of their words and actions, ensuring they didn't hurt anyone else in the same way.

Through their sincere apology and willingness to make amends, Alex and Sarah's friendship grew stronger, teaching them both the importance of taking responsibility for their actions and treating others with kindness and respect.",,,Caitlin Ryan Marcus,,Reviewing
apply to 5 colleges,"Finish what I start,Cultivate a growth mindset,Plan better (time management)","Better academics,Transition to adulthood/independence","Doom scrolling,Doing nothing,watching TV/movies/Youtube,Gaming,Time on social media,Procrastinating",,"Steps:
Step 1: Research and choose 5 colleges that align with your interests and goals.
Step 2: Gather all necessary application materials, including transcripts, test scores, letters of recommendation, and personal essays.
Step 3: Complete and submit the applications for each of the 5 colleges before the specified deadlines.
Step 4: Follow up with each college to ensure that all required materials have been received and to inquire about any additional steps or documents needed.
Step 5: Wait patiently for admission decisions and consider your options carefully before making a final decision.

Example:
Emma, a diligent and ambitious sixth-grader, had a dream of attending college and pursuing her passion for science. She decided to take the first step towards achieving her goal by researching and choosing 5 colleges that offered excellent science programs.

With her trusty notebook in hand, Emma began exploring various college websites, reading about their science departments, faculty, and research opportunities. She jotted down notes, comparing and contrasting the different colleges based on factors that were important to her, such as location, scholarships, and campus facilities.

Once Emma had narrowed down her choices to 5 colleges, she moved on to step 2. She gathered all the necessary application materials, including her middle school transcripts, standardized test scores, letters of recommendation from her science teacher and school counselor, and a personal essay highlighting her passion for science.

With her application materials neatly organized in a folder, Emma moved on to step 3. She carefully filled out each college's application form, ensuring that she followed the instructions and provided all the required information. She double-checked her work to avoid any mistakes or omissions. Then, she submitted her completed applications online before the specified deadlines.

As the weeks went by, Emma eagerly awaited responses from the colleges. In the meantime, she decided to take control of step 4 by following up with each college to confirm that her application was complete and inquire about any additional steps or documents needed. She made polite phone calls to the admissions offices, introducing herself and expressing her excitement about the possibility of attending their institution. Emma took diligent notes during each conversation, ensuring she had a clear understanding of the next steps.

Finally, the day arrived when Emma received her admission decisions. She carefully reviewed each offer, considering the financial aid packages, campus visits, and opportunities for scientific research. Emma consulted with her parents, teachers, and school counselor to gather different perspectives and advice. After careful consideration, she confidently made her final decision and happily accepted her spot at a college that would nurture her scientific aspirations.

Through careful research, organization, and proactive communication, Emma successfully completed the process of applying to 5 colleges. She knew that her hard work and determination had paid off, and she was now one step closer to achieving her dreams.",,,Caitlyn Wang,,Reviewing
apply to 5 jobs,"Get a job,Grow my career,Cultivate a growth mindset","Better academics,Job Hunting,Just Relocated,Transition to adulthood/independence","Doom scrolling,Doing nothing,watching TV/movies/Youtube,Gaming,Time on social media,Procrastinating",,"Steps:
Step 1: Explore your interests and skills: Take some time to think about what you enjoy doing and what you are good at. Make a list of your interests and skills, such as playing an instrument, writing, or working with computers.

Step 2: Research different job options: Use the internet, books, and career websites to learn about different jobs that match your interests and skills. Look for job descriptions, educational requirements, and any special skills or certifications needed for each job.

Step 3: Prepare your application materials: Once you have identified 5 jobs that you are interested in, gather all the materials you need to apply. This may include your resume, a cover letter, and any other documents or certifications that are required for the specific jobs.

Step 4: Customize your application for each job: Tailor your resume and cover letter to highlight the skills and experiences that are most relevant to each job you are applying for. Make sure to include any relevant volunteer work, extracurricular activities, or part-time jobs that demonstrate your abilities.

Step 5: Submit your applications: Follow the instructions provided by each employer to submit your applications. This may involve filling out an online form, emailing your documents, or mailing a physical application. Make sure to double-check all the instructions and deadlines to ensure your applications are submitted on time.

Example:
Meet Sarah, a sixth-grader who loves art and has a talent for drawing. She has decided to apply to 5 different jobs that involve art. 

Step 1: Sarah spends some time thinking about her interests and skills. She realizes that she enjoys drawing, painting, and creating digital art on her computer. She also has good attention to detail and is patient when working on a project.

Step 2: Sarah goes online and starts researching different job options related to art. She finds out about jobs like graphic designer, illustrator, art teacher, animator, and museum curator. She reads about the responsibilities, educational requirements, and the skills needed for each job.

Step 3: Sarah prepares her application materials. She creates a resume that highlights her art skills and experiences, including any art classes she has taken and any art competitions she has participated in. She also writes a cover letter explaining her passion for art and why she is interested in each specific job.

Step 4: Sarah customizes her application for each job. For the graphic designer job, she emphasizes her digital art skills and includes some examples of her work. For the art teacher job, she talks about her love for sharing her knowledge and creativity with others. She makes sure to adjust her resume and cover letter to match the requirements and skills needed for each job.

Step 5: Sarah follows the instructions provided by each employer to submit her applications. Some require her to fill out an online form, while others ask for an email with her documents attached. She carefully reads all the instructions and double-checks the deadlines to ensure her applications are submitted on time.

Sarah feels proud of herself for taking the initiative to apply to these jobs. She knows that even if she doesn't get selected for all of them, the experience of applying and showcasing her skills will be valuable for future opportunities.",,,Caitlyn Wang,,Reviewing
Arrange childcare for a night,"Strengthen my marriage,De-stress and build my calming strategies,Free up my time and my mind,Self discovery.  Find out what I need.,Regular self-care ","Parenting Stress,Alcohol Consumption,Poor Mental Health,Self-Regulation and Coping,Stress",,,"Steps:
Step 1: Identify the need for childcare: Determine the date and time for which you require childcare. Make sure to check with your parents or guardians to ensure they are comfortable with you arranging childcare for the specific night.

Step 2: Research and select childcare options: Look for trusted individuals or services in your community that offer childcare. Ask your parents or guardians if they have any recommendations. Consider factors like reliability, experience, and cost when making your decision.

Step 3: Contact the chosen caregiver: Reach out to the selected caregiver and inquire about their availability for the specific night. Provide them with the necessary information such as the date, time, and duration of childcare needed. Remember to be polite and respectful during the conversation.

Step 4: Discuss terms and confirm arrangements: Once you have found a caregiver available for the night, have a conversation with them or their representative about the terms of the arrangement. This includes discussing the payment, any specific instructions or requirements, and emergency contact information. Ensure both parties are clear and comfortable with the agreed-upon terms.

Step 5: Confirm with your parents or guardians: Before finalizing the childcare arrangement, inform your parents or guardians about your choice and the agreed-upon terms. Seek their approval and make any necessary adjustments based on their feedback. Once everything is confirmed, express your gratitude for their support.

Example:
Emily was thrilled when she heard about the upcoming school dance. It was the event everyone had been talking about, and she couldn't wait to attend. However, Emily knew she needed to arrange childcare for the night since her parents had a prior engagement.

Step 1: Emily talked to her parents and explained the situation. They agreed that she could arrange for a babysitter for the night, as long as Emily took responsibility for finding a trustworthy caregiver.

Step 2: Emily started her research by asking her friends if they knew any reliable babysitters. She also looked up local childcare services online and read reviews from other parents. After careful consideration, she selected a babysitter who had received excellent feedback and had experience with children her age.

Step 3: Emily gathered the necessary contact information and called the babysitter. She introduced herself politely and explained the date, time, and duration of childcare she needed. The babysitter was available and seemed friendly and responsible.

Step 4: During their conversation, Emily discussed the payment with the babysitter, which they agreed upon. She also provided instructions on bedtime routines, emergency contact numbers, and any other relevant information. Both Emily and the babysitter felt comfortable with the terms and arrangements.

Step 5: Emily excitedly went to her parents and shared her choice of babysitter. She explained the agreed-upon terms, including the payment and instructions given to the caregiver. Her parents appreciated Emily's efforts and approved the arrangement. They expressed their gratitude for her responsibility and assured her they would be available in case of any emergencies.

With the childcare arrangements in place, Emily could now look forward to the school dance without any worries. She felt proud of herself for taking the initiative and handling the situation responsibly.",,,Caitlin Ryan Marcus,,Reviewing
